,HIVincidence,HIVprevalence,%msm12month,drugdep,unemployment_rate,household_income
0,10.9,225.5,1.7156105100463677,2.56,8.5,20304
1,8.7,163.9,1.3266593999196834,2.54,8.6,73058
2,0.0,436.0,0.7089132878015043,2.54,14.2,9145
3,0.0,191.9,1.2515776188472865,2.58,10.9,7078
4,10.4,95.4,2.812616997379259,2.58,9.3,20934
5,90.7,691.4,1.5879921688057428,2.56,17.4,3746
6,0.0,268.4,0.5502257336343115,2.54,12.2,8253
7,10.3,211.2,1.608628946022595,2.58,13.5,45348
8,34.6,366.9,0.9785834603352852,2.56,12.7,13901
9,0.0,90.1,0.5493427506376299,2.43,9.6,11726
10,13.8,99.5,1.247130359247999,2.58,9.7,16281
11,0.0,220.3,2.573822825219473,2.56,13.4,5526
12,0.0,162.0,0.5456570155902005,2.54,19.9,9791
13,0.0,190.9,2.0215897939156036,2.58,10.9,5572
14,0.0,111.3,3.582358235823582,2.58,8.6,5639
15,0.0,143.3,2.6204835352511076,2.54,7.3,19086
16,0.0,93.3,0.9347663084228942,2.43,10.0,22442
17,0.0,262.3,0.5429108373355607,2.54,26.7,5030
18,0.0,149.7,0.6525652565256526,2.58,19.9,4446
19,15.7,169.9,2.6503935870585686,2.54,10.5,14979
20,0.0,197.5,0.5460218408736349,2.54,10.7,5424
21,8.7,75.6,0.6903613661888088,2.43,9.0,31160
22,26.8,273.4,1.0272491349480968,2.54,10.8,19470
23,17.8,415.2,0.5472532098505577,2.56,18.0,16259
24,0.0,76.7,0.8802885174700431,2.43,9.5,24743
25,8.8,228.7,0.7398398702746529,2.56,8.6,28617
26,0.0,226.4,1.1930234066005316,2.54,16.2,13737
27,13.8,187.0,0.9757501242577236,2.43,10.7,40001
28,0.0,98.5,0.5442388431037164,2.43,11.3,6967
29,0.0,46.1,1.6415986248388483,2.43,9.5,12247
30,0.0,163.7,0.7006305675107597,2.54,10.7,10898
31,0.0,396.7,0.5410566518141311,2.56,25.9,3282
32,0.0,421.2,1.626604012289897,2.56,13.4,5931
33,0.0,163.5,0.7051081165778752,2.54,11.1,6900
34,17.3,333.9,0.8706673279329916,2.54,8.1,39464
